ts,name,cpu_perc,mem_usage
1787071725,agwbench-mock2,996.98%,11.76MiB / 1.106TiB
1787071725,agwbench-agw-0,567.53%,24.56MiB / 1.106TiB
1787071725,agwbench-agw-1,608.68%,23.05MiB / 1.106TiB
1787071725,agwbench-agw-2,564.13%,22.46MiB / 1.106TiB
1787071725,agwbench-agw-3,578.40%,24.42MiB / 1.106TiB
1787071725,agwbench-agw-4,550.72%,22.86MiB / 1.106TiB
1787071725,agwbench-agw-5,539.33%,23.19MiB / 1.106TiB
1787071725,agwbench-agw-6,536.89%,23.62MiB / 1.106TiB
1787071725,agwbench-agw-7,544.44%,23.81MiB / 1.106TiB
1787071725,agwbench-agw-8,543.32%,23.35MiB / 1.106TiB
1787071725,agwbench-agw-9,494.74%,23.15MiB / 1.106TiB
1787071725,agwbench-agw-10,561.15%,22.91MiB / 1.106TiB
1787071725,agwbench-agw-11,548.94%,22.26MiB / 1.106TiB
1787071725,agwbench-agw-12,575.66%,23.19MiB / 1.106TiB
1787071725,agwbench-agw-13,587.31%,24.09MiB / 1.106TiB
1787071725,agwbench-agw-14,547.85%,22.66MiB / 1.106TiB
1787071725,agwbench-agw-15,585.01%,22.79MiB / 1.106TiB
1787071725,agwbench-agw-16,511.54%,22.28MiB / 1.106TiB
1787071725,agwbench-agw-17,599.04%,23.43MiB / 1.106TiB
1787071725,agwbench-agw-18,561.78%,24.32MiB / 1.106TiB
1787071725,agwbench-agw-19,570.85%,22.95MiB / 1.106TiB
1787071728,agwbench-mock,1045.78%,11.46MiB / 1.106TiB
1787071728,agwbench-mock2,997.98%,11.93MiB / 1.106TiB
1787071728,agwbench-agw-0,577.77%,24.55MiB / 1.106TiB
1787071728,agwbench-agw-1,613.24%,23.57MiB / 1.106TiB
1787071728,agwbench-agw-2,568.09%,22.38MiB / 1.106TiB
1787071728,agwbench-agw-3,589.38%,23.73MiB / 1.106TiB
1787071728,agwbench-agw-4,556.46%,22.21MiB / 1.106TiB
1787071728,agwbench-agw-5,554.06%,23MiB / 1.106TiB
1787071728,agwbench-agw-6,540.24%,23.44MiB / 1.106TiB
1787071728,agwbench-agw-7,552.62%,24.39MiB / 1.106TiB
1787071728,agwbench-agw-8,554.71%,23.5MiB / 1.106TiB
1787071728,agwbench-agw-9,507.54%,23.02MiB / 1.106TiB
1787071728,agwbench-agw-10,565.50%,22.44MiB / 1.106TiB
1787071728,agwbench-agw-11,552.70%,22.19MiB / 1.106TiB
1787071728,agwbench-agw-12,580.75%,23.33MiB / 1.106TiB
1787071728,agwbench-agw-13,581.83%,24MiB / 1.106TiB
1787071728,agwbench-agw-14,549.60%,23.1MiB / 1.106TiB
1787071728,agwbench-agw-15,584.01%,23.07MiB / 1.106TiB
1787071728,agwbench-agw-16,510.79%,21.92MiB / 1.106TiB
1787071728,agwbench-agw-17,593.96%,22.27MiB / 1.106TiB
